anime title,number of episodes
One Piece,1064
Naruto: Shippuden,500
Bleach,366
Black Clover,170
Boruto: Naruto Next Generations,293
Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,8
Naruto,220
Spy x Family,12
Demon Slayer: Entertainment District Arc,11
Blue Lock,24
Jujutsu Kaisen (TV),24
My Hero Academia Season 6,25
Chainsaw Man,12
Hunter x Hunter,148
"Attack on Titan: Final Season, Part 2",12
Demon Slayer: Kimetsu no Yaiba,26
Attack on Titan,25
The Eminence in Shadow,20
Dragon Ball Super,131
Dragon Ball Z,291
Death Note,37
Classroom of the Elite 2nd Season,13
Hell's Paradise,9
Attack on Titan Season 3,22
My Hero Academia 5th Season,25
"Attack on Titan: Final Season, Part 1",16
My Dress-Up Darling,12
"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",9
Harem in the Labyrinth of Another World (Uncensored),12
Dragon Ball,153
Jujutsu Kaisen 0 Movie,1
The Rising of the Shield Hero 2nd Season,13
Ao Ashi,24
Vinland Saga: 2nd Season,21
Fairy Tail,175
Mashle: Magic and Muscles,8
Bleach: Thousand-Year Blood War Arc,13
Kaguya-sama Love is War: Ultra Romantic,13
Vermeil in Gold,12
Overlord IV,13
Attack on Titan Season 2,12
"Spy x Family, Part 2",13
My Hero Academia 4,25
Haikyu!!,25
Tokyo Revengers: Christmas Showdown,13
My Hero Academia 3,25
My Hero Academia 2,25
Shikimori's Not Just a Cutie,12
Call of the Night,13
My Star,7
Classroom of the Elite,12
Redo of Healer (Uncensored),12
Black Summoner,12
The Greatest Demon Lord Is Reborn as a Typical Nobody,12
Fire Force,24
Tokyo Revengers,24
Vinland Saga,24
Demon Slayer Movie: Mugen Train,1
That Time I Got Reincarnated as a Slime,24
Horimiya,13
One Punch Man,12
Haikyuu!!: To the Top (Part 1+2),25
My Hero Academia,13
Rent-A-Girlfriend 2nd Season,12
My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,12
"Komi-san wa, Comyushou desu. 2nd Season",12
Skeleton Knight in Another World,12
The Reincarnation of the Strongest Exorcist in Another World,13
Pokemon Journeys: The Series,146
I'm Quitting Heroingl,12
A Couple of Cuckoos,24
Haikyu!! 2nd Season,25
World's End Harem (Uncensored),11
One Punch Man 2nd Season,12
The Rising of the Shield Hero,25
Fullmetal Alchemist: Brotherhood,64
Tokyo Ghoul,12
High School DxD,12
Fighting Spirit,75
Friends Game,12
Gintama,201
The Daily Life of the Immortal King 2nd Season,12
Sword Art Online,25
Tokyo Revengers: Christmas Showdown (Uncensored),13
Fire Force Season 2,24
Monster,74
The Misfit of Demon King Academy,13
Dr. Stone,24
Summer Time Rendering,25
The Daily Life of the Immortal King,15
Dr. Stone: New World,9
The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,9
Attack on Titan: The Final Season Part 3,1
Ranking of Kings,23
Loving Yamada at Lv999,10
Tokyo Revengers (Uncensored),24
My Hero Academia the Movie 3: World Heroes' Mission,1
Tomo-chan Is a Girl!,13
Overlord,13
Mushoku Tensei: Jobless Reincarnation Part 2,12
Tokyo Ghoul √A,12
Komi Can't Communicate,12
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,12
Case Closed,1085
That Time I Got Reincarnated as a Slime 2nd Season Part 2,12
Dragon Ball Z Kai,98
Baki,26
My Stepsister is My Ex-Girlfriend,12
Kaguya-sama: Love is War,12
Mob Psycho 100,12
Mob Psycho 100 III,12
Engage Kiss,13
Assassination Classroom,22
The Demon Slayer: Kimetsu no Yaiba Mugen Train Arc TV,7
The Iceblade Sorcerer Shall Rule the World,12
Buddy Daddies,12
The Devil is a Part-Timer! Season 2,12
Fairy Tail Series 2,102
Re:ZERO -Starting Life in Another World-,25
Mushoku Tensei: Jobless Reincarnation,11
Your Name,1
Farming Life in Another World,12
The Misfit of Demon King Academy II,6
The Devil is a Part-Timer!,13
Arifureta Shokugyou de Sekai Saikyou 2nd Season,12
Tsukimichi -Moonlit Fantasy-,12
Bungo Stray Dogs,12
Akame ga Kill!,24
The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat,12
High School DxD New,12
That Time I Got Reincarnated as a Slime Season 2,12
Lycoris Recoil,13
Overlord II,13
Your Lie in April,22
Yarichin Bitch Club,2
DARLING in the FRANXX,24
Aharen Is Indecipherable,12
Parallel World Pharmacy,12
The Angel Next Door Spoils Me Rotten,12
Haikyu!! 3rd Season,10
Kaguya-sama: Love is War Season 2,12
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,11
Overlord III,13
Overflow (TV ver.),8
"More than a married couple, but not lovers.",12
Campfire Cooking in Another World with My Absurd Skill,12
My First Girlfriend is a Gal (Uncensored),10
Food Wars! Shokugeki no Soma,24
Welcome to Demon School! Iruma-kun Season 3,21
One Piece Film: Red,1
Mother of the Goddess' Dormitory (Uncensored),10
Mob Psycho 100 II,13
Tokyo Ghoul:re,12
Date A Live IV,12
The Testament of Sister New Devil,12
Love after World Domination,12
Fullmetal Alchemist,51
Dororo,24
Rent-a-Girlfriend,12
Demon Slayer: Kimetsu no Yaiba – To the Swordsmith Village,1
The God of High School,13
The Dawn of the Witch,12
The Seven Deadly Sins,24
JoJo's Bizarre Adventure,26
Code Geass: Lelouch of the Rebellion,25
Sword Art Online II,24
KonoSuba: God's Blessing on This Wonderful World!,10
High School DxD Hero,12
Domestic Girlfriend (Uncensored),12
High School DxD BorN,12
Dr. Stone: Stone Wars,11
Food Wars! The Third Plate,24
Parasyte -the maxim-,24
Arifureta: From Commonplace to World's Strongest,13
My Teen Romantic Comedy SNAFU,13
Welcome to Demon School! Iruma-kun,23
"Spare Me, Great Lord!",12
"Don't Toy with Me, Miss Nagatoro",12
Heavenly Delusion,10
Berserk (1997),25
Summoned to Another World for a Second Time,9
Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,12
Wise Man's Grandchild,12
The Irregular at Magic High School,26
Record of Ragnarok,12
Kuroko's Basketball,25
A Silent Voice,1
Tower of God,13
"Don't Toy with Me, Miss Nagatoro 2nd Season",12
Pokémon,276
Soul Eater,51
Demon Slayer: Mt. Natagumo Arc,1
Fruits Basket 1st Season,25
"The Fruit of Evolution: Before I Knew It, My Life Had It Made (2021)",12
Assassination Classroom Second Season,25
Tokyo Ghoul:re 2nd Season,12
The Last Summoner,12
Chivalry of a Failed Knight,12
The Disastrous Life of Saiki K.,24
Spirit Chronicles,12
